"Token","FreqCommerce","FreqRest","c","d","GStat","Frequency"
"subversives","0","3","170641","913458","1.02760110006389","less"
"kirkham","0","3","170641","913458","1.02760110006389","less"
"lockit","0","3","170641","913458","1.02760110006389","less"
"ynys","0","3","170641","913458","1.02760110006389","less"
"ignition","0","3","170641","913458","1.02760110006389","less"
"unto","0","3","170641","913458","1.02760110006389","less"
"blaming","0","3","170641","913458","1.02760110006389","less"
"bonny","0","3","170641","913458","1.02760110006389","less"
"paralysis","0","3","170641","913458","1.02760110006389","less"
"brimming","0","3","170641","913458","1.02760110006389","less"
"beekeepers","0","3","170641","913458","1.02760110006389","less"
"dibben","0","3","170641","913458","1.02760110006389","less"
"ditches","0","3","170641","913458","1.02760110006389","less"
"wooster","0","3","170641","913458","1.02760110006389","less"
"khalid","0","3","170641","913458","1.02760110006389","less"
"raffle","0","3","170641","913458","1.02760110006389","less"
"scheduling","0","3","170641","913458","1.02760110006389","less"
"alberto","0","3","170641","913458","1.02760110006389","less"
"pelvic","0","3","170641","913458","1.02760110006389","less"
"requisite","0","3","170641","913458","1.02760110006389","less"
"latimer","0","3","170641","913458","1.02760110006389","less"
"life-support","0","3","170641","913458","1.02760110006389","less"
"oneself","0","3","170641","913458","1.02760110006389","less"
"gourley","0","3","170641","913458","1.02760110006389","less"
"wildfowl","0","3","170641","913458","1.02760110006389","less"
"grayshott","0","3","170641","913458","1.02760110006389","less"
"assimilated","0","3","170641","913458","1.02760110006389","less"
"quirks","0","3","170641","913458","1.02760110006389","less"
"goodness","0","3","170641","913458","1.02760110006389","less"
"sing-song","0","3","170641","913458","1.02760110006389","less"
"peacefully","0","3","170641","913458","1.02760110006389","less"
"alexei","0","3","170641","913458","1.02760110006389","less"
"modernist","0","3","170641","913458","1.02760110006389","less"
"ballad","0","3","170641","913458","1.02760110006389","less"
"barrel","0","3","170641","913458","1.02760110006389","less"
"mcclennan","0","3","170641","913458","1.02760110006389","less"
"fascination","0","3","170641","913458","1.02760110006389","less"
"lilwall","0","3","170641","913458","1.02760110006389","less"
"exploits","0","3","170641","913458","1.02760110006389","less"
"treatable","0","3","170641","913458","1.02760110006389","less"
"walnut","0","3","170641","913458","1.02760110006389","less"
"backside","0","3","170641","913458","1.02760110006389","less"
"eritrean","0","3","170641","913458","1.02760110006389","less"
"signature","0","3","170641","913458","1.02760110006389","less"
"forceful","0","3","170641","913458","1.02760110006389","less"
"half-century","0","3","170641","913458","1.02760110006389","less"
"bingham","0","3","170641","913458","1.02760110006389","less"
"weller","0","3","170641","913458","1.02760110006389","less"
"wig","0","3","170641","913458","1.02760110006389","less"
"bazaar","0","3","170641","913458","1.02760110006389","less"
"eben","0","3","170641","913458","1.02760110006389","less"
"condemns","0","3","170641","913458","1.02760110006389","less"
"comstive","0","3","170641","913458","1.02760110006389","less"
"flushes","0","3","170641","913458","1.02760110006389","less"
"unreservedly","0","3","170641","913458","1.02760110006389","less"
"cosmic","0","3","170641","913458","1.02760110006389","less"
"hanworth","0","3","170641","913458","1.02760110006389","less"
"choc","0","3","170641","913458","1.02760110006389","less"
"hexagonal","0","3","170641","913458","1.02760110006389","less"
"judiciously","0","3","170641","913458","1.02760110006389","less"
"moaning","0","3","170641","913458","1.02760110006389","less"
"£5.95","0","3","170641","913458","1.02760110006389","less"
"bloomfield","0","3","170641","913458","1.02760110006389","less"
"awaits","0","3","170641","913458","1.02760110006389","less"
"registrar","0","3","170641","913458","1.02760110006389","less"
"obstacle","0","3","170641","913458","1.02760110006389","less"
"subversion","0","3","170641","913458","1.02760110006389","less"
"lindy","0","3","170641","913458","1.02760110006389","less"
"clergyman","0","3","170641","913458","1.02760110006389","less"
"pawn","0","3","170641","913458","1.02760110006389","less"
"celibacy","0","3","170641","913458","1.02760110006389","less"
"inventiveness","0","3","170641","913458","1.02760110006389","less"
"ploy","0","3","170641","913458","1.02760110006389","less"
"socialite","0","3","170641","913458","1.02760110006389","less"
"meikle","0","3","170641","913458","1.02760110006389","less"
"tilford","0","3","170641","913458","1.02760110006389","less"
"bjp","0","3","170641","913458","1.02760110006389","less"
"geelong","0","3","170641","913458","1.02760110006389","less"
"491212","0","3","170641","913458","1.02760110006389","less"
"bedding","0","3","170641","913458","1.02760110006389","less"
"liquor","0","3","170641","913458","1.02760110006389","less"
"sparring","0","3","170641","913458","1.02760110006389","less"
"vc","0","3","170641","913458","1.02760110006389","less"
"hamlet","0","3","170641","913458","1.02760110006389","less"
"hilly","0","3","170641","913458","1.02760110006389","less"
"eriksson","0","3","170641","913458","1.02760110006389","less"
"70mph","0","3","170641","913458","1.02760110006389","less"
"marries","0","3","170641","913458","1.02760110006389","less"
"denver","0","3","170641","913458","1.02760110006389","less"
"neurotic","0","3","170641","913458","1.02760110006389","less"
